Designator,Comment,Footprint,LCSC Part Number
C1,0.1u,C_0402_1005Metric,C307331
C2,10u,C_0603_1608Metric,C344022
"R1,R2,R8,R9,R10,R11",330m,R_0402_1005Metric,C1705212
"R3,R6,R7",10k,R_0402_1005Metric,C25744
"R4,R5",500,R_0402_1005Metric,C25123
"RV1,RV2,RV3,RV4,RV5,RV6",RL0603A330K,R_0603_1608Metric,C2935569
U1,DRV8847SPWR,TSSOP-16_4.4x5mm_P0.65mm,C701804
